marker_rank,gene,combined_score,expression,specificity,log2_fc_vs_others,z_score,gini_specificity,pct_total_expression,rank_among_types,is_top_expressed,max_other_expression,mean_other_expression
150,NFIA,0.0009147435,0.0029088627,0.36953023,-0.2516504,-0.2164138,0.21787920022416557,10.713545,4,0,0.007871785,0.0034631996
151,LINC02073,0.0009059144,0.00045888333,6.2006516,4.916414,2.6104357,0.8119721238666258,81.182205,1,1,7.400556e-05,1.5195378e-05
152,ELF2,0.00089659065,0.0013281872,0.964128,0.62687594,1.1822183,0.1790984888194263,18.073248,2,0,0.0013776044,0.0008601037
153,KCNMB4,0.0008925149,0.0010062822,1.4276968,3.013453,2.0994813,0.7233404276685576,53.56536,1,1,0.00070482894,0.0001246177
154,PHLDB1,0.00088843814,0.0009792199,1.4776036,1.7970759,1.9592211,0.4686256789549206,33.175194,1,1,0.000662708,0.00028177755
155,GPR37,0.0008821075,0.0011624711,1.1357566,2.7192895,1.8741419,0.7051479329391592,48.474426,1,1,0.0010235212,0.00017652013
156,SCHIP1,0.00087454676,0.0010452939,1.3086238,1.9729625,1.9292617,0.5182259588638791,35.931084,1,1,0.00079877325,0.00026626704
157,CDK18,0.0008622325,0.0021328484,0.49819848,1.7749517,0.89037925,0.6871615602619736,32.836105,2,0,0.004281122,0.0006232269
158,GNG7,0.0008562877,0.0016014944,0.7069027,1.034855,1.0303736,0.37822791947968215,22.6426,2,0,0.002265509,0.00078163313
159,PTMA,0.00085595413,0.0015594852,0.731295,0.53867346,0.6993947,0.26151014932785976,17.1856,2,0,0.0021324982,0.0010735552
160,TECPR2,0.00084532535,0.0010127028,1.3041735,1.5053736,1.8732293,0.37846666273882956,28.85443,1,1,0.0007765092,0.00035671334
161,FAM13C,0.0008433349,0.001537537,0.7306504,0.87586874,0.7557395,0.3670983841500122,20.77068,3,0,0.0021043401,0.0008378432
162,SLC25A13,0.00083815487,0.0017121669,0.6315471,0.8115456,0.7572781,0.32632123839768107,20.046516,3,0,0.0027110677,0.0009755432
163,GREM1,0.0008280899,0.00037406365,8.150124,5.579378,2.6266942,0.8344711821270931,87.2298,1,1,4.5896588e-05,7.823117e-06
164,DAAM2,0.0008273624,0.0019340522,0.5338593,0.6734722,0.4659761,0.3487815453622037,18.556421,4,0,0.003622775,0.0012126426
165,LDLRAD3,0.0008231765,0.0013715774,0.82242453,0.37065244,0.42163268,0.14348786612853093,15.590826,5,0,0.0016677242,0.0010608227
166,FGFR2,0.00080605893,0.001617318,0.64607286,1.4341583,1.0224838,0.5446922400919592,27.851751,2,0,0.002503306,0.000598509
167,PICALM,0.0008037811,0.0027786605,0.33545128,-0.20914742,-0.17044766,0.22638878125020273,10.998639,4,0,0.008283351,0.003212145
168,SERINC5,0.00080266513,0.0015232038,0.6937728,0.103089266,0.15494548,0.13852499816714534,13.302718,4,0,0.0021955369,0.0014181593
169,ZDHHC20,0.00077333616,0.0016691897,0.5893106,0.38930902,0.40710366,0.22286197765332097,15.761767,4,0,0.0028324449,0.0012744182
170,CLIC4,0.0007712032,0.0010598457,1.0702226,1.5213419,1.6281357,0.45074808330144744,29.08218,1,1,0.0009903038,0.00036920965
171,SEPTIN4,0.00076470856,0.0007634695,1.722697,2.369351,2.108417,0.5969922818231868,42.467743,1,1,0.0004431826,0.00014775622
172,GLUL,0.0007628976,0.0011857462,0.90292144,1.4695393,1.3989824,0.4325149238926781,28.347218,2,0,0.0013132328,0.00042817005
173,KNOP1,0.00076194725,0.0010432893,1.075769,1.6937025,1.5979185,0.5257362335777065,31.606283,1,1,0.00096980785,0.00032251465
174,BIN1,0.0007586757,0.0011925995,0.88919896,1.4060397,1.4138894,0.39996955044992466,27.461794,2,0,0.0013412065,0.00045002278
175,DYSF,0.0007584287,0.00053645653,3.111446,3.7869515,2.503953,0.7501072635207495,66.35169,1,1,0.0001724138,3.8864004e-05
176,MOG,0.0007570771,0.0013978664,0.71874565,2.1742435,1.3179886,0.6460607222683874,39.20176,2,0,0.0019448693,0.00030970847
177,IGSF11,0.00074976997,0.0014168749,0.6975255,1.4426031,1.0497719,0.538184042641659,27.969524,2,0,0.0020312876,0.0005212723
178,ANLN,0.0007463495,0.0014780365,0.6569194,2.04204,1.2028136,0.6522221068199727,37.040596,2,0,0.002249951,0.00035889697
179,MYRF,0.0007456678,0.0011719275,0.889429,2.5866885,1.5919645,0.6553295021013253,46.18359,2,0,0.0013176178,0.00019508763
180,SYNJ2,0.0007452748,0.0018774738,0.4872907,1.5819919,0.8410088,0.6402964224816428,29.956781,2,0,0.0038528824,0.00062711444
181,HSP90AA1,0.00073909154,0.002159395,0.4081374,-0.17368078,-0.16024244,0.24989417185760193,11.241605,3,0,0.005290853,0.0024356518
182,GREB1L,0.0007335316,0.00074800354,1.6661955,1.6143682,1.9532837,0.40749230148122795,30.429771,1,1,0.00044892894,0.00024430387
183,NFIX,0.0007291232,0.0011508983,0.8842414,1.422719,1.2860548,0.45492197740879625,27.692696,2,0,0.0013015656,0.00042929497
184,TLE4,0.00072808244,0.0011374806,0.896639,0.5552691,0.8018392,0.20090141332915773,17.349936,3,0,0.0012686048,0.00077408977
185,CD22,0.00072701334,0.0009952928,1.0760181,2.8614514,1.8151809,0.7465302078453415,50.937325,1,1,0.0009249776,0.00013695184
186,TP53TG5,0.0007139495,0.00068011164,1.8569466,3.3299189,2.2980788,0.7346953433640631,58.95765,1,1,0.00036625259,6.763542e-05
187,SCD,0.0007098651,0.0013375448,0.70016026,1.7213275,1.2181549,0.5618348709558866,32.021656,2,0,0.0019103407,0.00040563653
188,FAM124A,0.0007086047,0.0010785285,0.92901725,1.9784425,1.5409528,0.5435842377812564,36.01857,2,0,0.0011609347,0.0002736913
189,TPPP,0.00070007425,0.000749482,1.5448645,2.3962212,1.9339577,0.643402058773594,42.92343,1,1,0.00048514406,0.00014237264
190,TMEFF1,0.0006945204,0.0009350567,1.1017232,1.7588521,1.4214967,0.5840737608512807,32.590466,1,1,0.0008487219,0.0002762935
191,TRIM59,0.0006916231,0.0010833549,0.8934652,2.4007266,1.5854264,0.6260966880463907,42.999958,2,0,0.0012125316,0.00020515395
192,GRID2,0.000688893,0.0045473576,0.16357021,-0.9595688,-0.40890813,0.3599220374545463,6.843175,4,0,0.027800646,0.008843376
193,ABCA8,0.0006867087,0.0010965184,0.8706067,2.2207937,1.5222383,0.6108658547086673,39.973415,2,0,0.0012594875,0.00023522865
